term,translation,context
machine learning,机器学习,
deep learning,深度学习,
neural network,神经网络,
artificial intelligence,人工智能,
convolutional neural network,卷积神经网络,
recurrent neural network,循环神经网络,
long short-term memory,长短期记忆网络,
gated recurrent unit,门控循环单元,
transformer,Transformer 模型,
attention mechanism,注意力机制,
self-attention,自注意力,
multi-head attention,多头注意力,
cross-attention,交叉注意力,
scaled dot-product attention,缩放点积注意力,
positional encoding,位置编码,
positional embedding,位置嵌入,
token embedding,词嵌入,
word embedding,词向量,
embedding layer,嵌入层,
embedding space,嵌入空间,
feature extraction,特征提取,
feature engineering,特征工程,
feature map,特征图,
feature vector,特征向量,
feature selection,特征选择,
feature scaling,特征缩放,
activation function,激活函数,
ReLU,修正线性单元,
sigmoid function,Sigmoid 函数,
softmax function,Softmax 函数,
tanh function,Tanh 函数,
LeakyReLU,带泄漏 ReLU,
GELU,高斯误差线性单元,
loss function,损失函数,
cross-entropy loss,交叉熵损失,
mean squared error,均方误差,
mean absolute error,平均绝对误差,
huber loss,Huber 损失,
focal loss,焦点损失,
contrastive loss,对比损失,
triplet loss,三元组损失,
gradient descent,梯度下降,
stochastic gradient descent,随机梯度下降,
mini-batch gradient descent,小批量梯度下降,
batch gradient descent,批量梯度下降,
momentum,动量,
Adam optimizer,Adam 优化器,
AdamW,AdamW 优化器,
RMSProp,RMSProp 优化器,
learning rate,学习率,
learning rate scheduler,学习率调度器,
weight decay,权重衰减,
gradient clipping,梯度裁剪,
backpropagation,反向传播,
backward pass,反向传播,
forward pass,前向传播,
chain rule,链式法则,
computational graph,计算图,
automatic differentiation,自动微分,
vanishing gradient,梯度消失,
exploding gradient,梯度爆炸,
batch normalization,批归一化,
layer normalization,层归一化,
group normalization,组归一化,
instance normalization,实例归一化,
dropout,随机失活,
dropout rate,失活率,
early stopping,早停,
regularization,正则化,
L1 regularization,L1 正则化,
L2 regularization,L2 正则化,
data augmentation,数据增强,
label smoothing,标签平滑,
mixup,混合增强,
cutmix,剪切混合,
knowledge distillation,知识蒸馏,
model distillation,模型蒸馏,
teacher model,教师模型,
student model,学生模型,
self-supervised learning,自监督学习,
semi-supervised learning,半监督学习,
unsupervised learning,无监督学习,
supervised learning,监督学习,
reinforcement learning,强化学习,
transfer learning,迁移学习,
multi-task learning,多任务学习,
meta-learning,元学习,
few-shot learning,少样本学习,
zero-shot learning,零样本学习,
in-context learning,上下文学习,
prompt engineering,提示工程,
prompt tuning,提示微调,
fine-tuning,微调,
instruction tuning,指令微调,
pre-training,预训练,
pre-trained model,预训练模型,
foundation model,基础模型,
large language model,大语言模型,
general-purpose model,通用模型,
downstream task,下游任务,
benchmark,基准,
benchmarking,基准测试,
state-of-the-art,最先进水平,
baseline,基线,
ablation study,消融实验,
evaluation metric,评估指标,
accuracy,准确率,
precision,精确率,
recall,召回率,
F1 score,F1 分数,
F1-score,F1 分数,
macro F1,宏平均 F1,
micro F1,微平均 F1,
AUC,AUC 值,
ROC curve,ROC 曲线,
PR curve,PR 曲线,
confusion matrix,混淆矩阵,
mean reciprocal rank,平均倒数排名,
BLEU,BLEU 分数,
ROUGE,ROUGE 分数,
METEOR,METEOR 分数,
CIDEr,CIDEr 分数,
perplexity,困惑度,
top-k accuracy,Top-k 准确率,
top-1 accuracy,Top-1 准确率,
top-5 accuracy,Top-5 准确率,
inference,推理,
latency,延迟,
throughput,吞吐量,
tokens per second,每秒 token 数,
beam search,束搜索,
greedy decoding,贪心解码,
sampling,采样,
nucleus sampling,核采样,
top-k sampling,Top-k 采样,
temperature,温度系数,
logits,未归一化分数,
hallucination,幻觉,
alignment,对齐,
reinforcement learning from human feedback,基于人类反馈的强化学习,
RLHF,基于人类反馈的强化学习,
reward model,奖励模型,
reward signal,奖励信号,
policy gradient,策略梯度,
Proximal Policy Optimization,近端策略优化,
value function,价值函数,
Q-learning,Q 学习,
deep Q-network,深度 Q 网络,
actor-critic,演员-评论家,
deterministic policy gradient,确定性策略梯度,
exploration-exploitation tradeoff,探索与利用权衡,
discount factor,折扣因子,
markov decision process,马尔可夫决策过程,
state space,状态空间,
action space,动作空间,
BERT,BERT 模型,
GPT,GPT 模型,
LLaMA,LLaMA 模型,
PaLM,PaLM 模型,
T5,T5 模型,
BLOOM,BLOOM 模型,
Qwen,Qwen 模型,
GLM,GLM 模型,
DeepSeek,DeepSeek 模型,
Mistral,Mistral 模型,
Mixtral,Mixtral 模型,
encoder,编码器,
decoder,解码器,
encoder-decoder,编解码器,
autoregressive model,自回归模型,
non-autoregressive model,非自回归模型,
sequence-to-sequence,序列到序列,
tokenizer,分词器,
subword tokenization,子词分词,
Byte Pair Encoding,字节对编码,
WordPiece,WordPiece 分词,
SentencePiece,SentencePiece 分词,
vocabulary,词表,
token,词元,
vocab size,词表大小,
context window,上下文窗口,
context length,上下文长度,
sliding window attention,滑动窗口注意力,
flash attention,Flash 注意力,
rotary position embedding,旋转位置编码,
RoPE,旋转位置编码,
ALiBi,ALiBi 位置编码,
KV cache,键值缓存,
key-value cache,键值缓存,
prompt,提示,
prompt template,提示模板,
system prompt,系统提示,
chain-of-thought,思维链,
chain of thought,思维链,
tree of thought,思维树,
reasoning,推理,
reasoning chain,推理链,
retrieval-augmented generation,检索增强生成,
RAG,检索增强生成,
vector database,向量数据库,
vector store,向量存储,
embeddings,向量嵌入,
semantic search,语义搜索,
approximate nearest neighbor,近似最近邻,
hierarchical navigable small world,分层可导航小世界图,
FAISS,FAISS 向量库,
Milvus,Milvus 向量库,
agent,智能体,
tool use,工具调用,
function calling,函数调用,
multi-agent system,多智能体系统,
planning,规划,
reflection,反思,
memory,记忆,
working memory,工作记忆,
long-term memory,长期记忆,
diffusion model,扩散模型,
denoising diffusion probabilistic model,去噪扩散概率模型,
DDPM,去噪扩散概率模型,
score-based model,基于分数的模型,
latent diffusion model,潜在扩散模型,
stable diffusion,Stable Diffusion,
noise scheduler,噪声调度器,
forward diffusion,前向扩散,
reverse diffusion,反向扩散,
classifier-free guidance,无分类器引导,
text-to-image,文生图,
text-to-video,文生视频,
image-to-image,图生图,
inpainting,图像修复,
super-resolution,超分辨率,
controlnet,ControlNet,
LoRA,LoRA 低秩适配,
low-rank adaptation,低秩适配,
quantization,量化,
model quantization,模型量化,
post-training quantization,训练后量化,
quantization-aware training,量化感知训练,
int8 quantization,INT8 量化,
int4 quantization,INT4 量化,
pruning,剪枝,
structured pruning,结构化剪枝,
unstructured pruning,非结构化剪枝,
knowledge graph,知识图谱,
graph neural network,图神经网络,
graph convolutional network,图卷积网络,
message passing,消息传递,
node embedding,节点嵌入,
edge feature,边特征,
recommender system,推荐系统,
collaborative filtering,协同过滤,
matrix factorization,矩阵分解,
contrastive learning,对比学习,
simCLR,SimCLR 对比学习,
MoCo,动量对比学习,
BYOL,无负样本对比学习,
masked language modeling,掩码语言模型,
next token prediction,下一词元预测,
causal language modeling,因果语言模型,
image classification,图像分类,
object detection,目标检测,
semantic segmentation,语义分割,
instance segmentation,实例分割,
panoptic segmentation,全景分割,
bounding box,边界框,
anchor box,锚框,
region proposal,候选区域,
region of interest,感兴趣区域,
non-maximum suppression,非极大值抑制,
YOLO,YOLO 模型,
Faster R-CNN,Faster R-CNN 模型,
Mask R-CNN,Mask R-CNN 模型,
DETR,DETR 模型,
segment anything,分割一切模型,
optical character recognition,光学字符识别,
speech recognition,语音识别,
text-to-speech,语音合成,
speaker verification,说话人验证,
speaker diarization,说话人分离,
named entity recognition,命名实体识别,
part-of-speech tagging,词性标注,
dependency parsing,依存句法分析,
constituency parsing,成分句法分析,
coreference resolution,指代消解,
machine translation,机器翻译,
text summarization,文本摘要,
question answering,问答系统,
reading comprehension,阅读理解,
natural language inference,自然语言推理,
sentiment analysis,情感分析,
information retrieval,信息检索,
adversarial attack,对抗攻击,
adversarial example,对抗样本,
adversarial training,对抗训练,
data poisoning,数据投毒,
model inversion attack,模型反演攻击,
membership inference attack,成员推断攻击,
differential privacy,差分隐私,
federated learning,联邦学习,
homomorphic encryption,同态加密,
secure multi-party computation,安全多方计算,
backdoor attack,后门攻击,
explainability,可解释性,
interpretability,可解释性,
SHAP,SHAP 可解释性,
LIME,LIME 可解释性,
attention rollout,注意力展开,
causal inference,因果推断,
counterfactual reasoning,反事实推理,
out-of-distribution,分布外,
distribution shift,分布偏移,
concept drift,概念漂移,
model drift,模型漂移,
online learning,在线学习,
incremental learning,增量学习,
continual learning,持续学习,
catastrophic forgetting,灾难性遗忘,
multi-modal learning,多模态学习,
vision-language model,视觉-语言模型,
multimodal large language model,多模态大语言模型,
contrastive language-image pre-training,对比语言-图像预训练,
CLIP,CLIP 模型,
ALBEF,ALBEF 模型,
BLIP,BLIP 模型,
image captioning,图像描述生成,
visual question answering,视觉问答,
visual reasoning,视觉推理,
speech translation,语音翻译,
self-driving,自动驾驶,
reinforcement learning environment,强化学习环境,
gym environment,Gym 环境,
simulator,仿真器,
synthetic data,合成数据,
data labeling,数据标注,
annotation,标注,
inter-annotator agreement,标注者一致性,
Cohen's kappa,Cohen 系数,
active learning,主动学习,
data-efficient learning,数据高效学习,
few-shot prompting,少样本提示,
zero-shot prompting,零样本提示,
retrieval-based model,基于检索的模型,
end-to-end model,端到端模型,
pipeline,流水线,
bottleneck,瓶颈,
latent variable,潜变量,
latent space,潜空间,
variational autoencoder,变分自编码器,
VAE,变分自编码器,
generative adversarial network,生成对抗网络,
GAN,生成对抗网络,
autoencoder,自编码器,
encoder-decoder architecture,编解码架构,
U-Net,U-Net 模型,
ResNet,残差网络,
VGG,VGG 网络,
Inception,Inception 网络,
MobileNet,MobileNet 网络,
EfficientNet,EfficientNet 网络,
Vision Transformer,视觉 Transformer,
Swin Transformer,Swin Transformer,
Mixture of Experts,混合专家,
MoE,混合专家模型,
expert routing,专家路由,
sparse activation,稀疏激活,
deep learning framework,深度学习框架,
PyTorch,PyTorch 框架,
TensorFlow,TensorFlow 框架,
JAX,JAX 框架,
ONNX,ONNX 模型格式,
TensorRT,TensorRT 推理引擎,
Hugging Face,Hugging Face 平台,
transformers library,Transformers 库,
model hub,模型仓库,
dataset,数据集,
training set,训练集,
validation set,验证集,
test set,测试集,
data leakage,数据泄露,
overfitting,过拟合,
underfitting,欠拟合,
bias-variance tradeoff,偏差-方差权衡,
hyperparameter,超参数,
hyperparameter tuning,超参数调优,
grid search,网格搜索,
random search,随机搜索,
Bayesian optimization,贝叶斯优化,
neural architecture search,神经架构搜索,
weight initialization,权重初始化,
Xavier initialization,Xavier 初始化,
He initialization,He 初始化,
gradient accumulation,梯度累积,
mixed precision training,混合精度训练,
bfloat16,bfloat16 精度,
fp16,半精度浮点,
fp32,单精度浮点,
distributed training,分布式训练,
data parallelism,数据并行,
model parallelism,模型并行,
pipeline parallelism,流水线并行,
tensor parallelism,张量并行,
FSDP,全分片数据并行,
DeepSpeed,DeepSpeed 框架,
checkpoint,检查点,
model checkpoint,模型检查点,
training epoch,训练轮次,
iteration,迭代,
step,训练步,
batch size,批量大小,
effective batch size,有效批量大小,
warmup,预热,
learning rate warmup,学习率预热,
scheduler,调度器,
loss landscape,损失景观,
saddle point,鞍点,
local minimum,局部最小值,
global minimum,全局最小值,
generative model,生成模型,
discriminative model,判别模型,
energy-based model,基于能量的模型,
normalizing flow,归一化流,
reinforcement learning from AI feedback,基于 AI 反馈的强化学习,
Constitutional AI,宪法式 AI,
self-play,自博弈,
open-ended generation,开放式生成,
instruction-following,指令遵循,
safety alignment,安全对齐,
red-teaming,红队测试,
jailbreak attack,越狱攻击,
prompt injection,提示注入,
data contamination,数据污染,
benchmark suite,基准测试集,
MMLU,MMLU 基准,
HumanEval,HumanEval 基准,
GSM8K,GSM8K 基准,
MATH,MATH 基准,
TruthfulQA,TruthfulQA 基准,
HellaSwag,HellaSwag 基准,
domain adaptation,领域适配,
domain generalization,领域泛化,
distribution alignment,分布对齐,
anchor,锚点,
prototype,原型,
prototype network,原型网络,
memory bank,记忆库,
retrieval,检索,
re-ranking,重排序,
contrastive decoder,对比解码器,
speaker embedding,说话人嵌入,
self-supervised pre-training,自监督预训练,
denoising autoencoder,去噪自编码器,
multitask learning,多任务学习,
neural machine translation,神经机器翻译,
statistical machine translation,统计机器翻译,
rule-based machine translation,基于规则的机器翻译,
document-level translation,文档级翻译,
sentence-level translation,句子级翻译,
post-editing,译后编辑,
translation memory,翻译记忆,
terminology consistency,术语一致性,
style transfer,风格迁移,
data-to-text generation,数据到文本生成,
structured prediction,结构化预测,
label dependency,标签依赖,
conditional random field,条件随机场,
hidden Markov model,隐马尔可夫模型,
linear chain CRF,线性链条件随机场,
support vector machine,支持向量机,
kernel function,核函数,
decision tree,决策树,
random forest,随机森林,
gradient boosting,梯度提升,
XGBoost,XGBoost 模型,
LightGBM,LightGBM 模型,
CatBoost,CatBoost 模型,
k-nearest neighbors,K 近邻,
naive Bayes,朴素贝叶斯,
logistic regression,逻辑回归,
linear regression,线性回归,
principal component analysis,主成分分析,
t-SNE,t-SNE 降维,
UMAP,UMAP 降维,
clustering,聚类,
k-means,K 均值聚类,
hierarchical clustering,层次聚类,
DBSCAN,DBSCAN 聚类,
density-based clustering,基于密度的聚类,
anomaly detection,异常检测,
outlier detection,离群点检测,
time series forecasting,时间序列预测,
autoregressive integrated moving average,自回归积分滑动平均,
state space model,状态空间模型,
sequence modeling,序列建模,
sequence labeling,序列标注,
span detection,片段检测,
span classification,片段分类,
extractive question answering,抽取式问答,
generative question answering,生成式问答,
open-domain question answering,开放域问答,
closed-domain question answering,封闭域问答,
slot filling,槽位填充,
intent recognition,意图识别,
intent classification,意图分类,
multi-label classification,多标签分类,
multi-class classification,多类分类,
binary classification,二分类,
imbalanced learning,不平衡学习,
class imbalance,类别不平衡,
re-sampling,重采样,
oversampling,过采样,
undersampling,欠采样,
SMOTE,SMOTE 过采样,
cost-sensitive learning,代价敏感学习,
calibration,校准,
temperature scaling,温度缩放,
expected calibration error,期望校准误差,
uncertainty estimation,不确定性估计,
bayesian neural network,贝叶斯神经网络,
monte carlo dropout,蒙特卡洛 dropout,
deep ensemble,深度集成,
conformal prediction,保形预测,
self-training,自训练,
pseudo-labeling,伪标签,
co-training,协同训练,
semi-supervised semantic segmentation,半监督语义分割,
mean teacher,Mean Teacher 模型,
fixmatch,FixMatch 模型,
mixmatch,MixMatch 模型,
uda,UDA 模型,
consistency regularization,一致性正则化,
mixer architecture,Mixer 架构,
MLP-Mixer,MLP-Mixer 模型,
patch embedding,块嵌入,
patchify,分块,
spatial pyramid pooling,空间金字塔池化,
feature pyramid network,特征金字塔网络,
bi-directional feature pyramid,双向特征金字塔,
neural radiance field,神经辐射场,
NeRF,神经辐射场,
3D reconstruction,三维重建,
depth estimation,深度估计,
optical flow,光流,
visual odometry,视觉里程计,
SLAM,同步定位与建图,
point cloud,点云,
pointnet,PointNet 模型,
graph attention network,图注意力网络,
heterogeneous graph,异构图,
knowledge graph embedding,知识图谱嵌入,
transE,TransE 模型,
rotatE,RotatE 模型,
hierarchical attention,层次注意力,
memory-augmented neural network,记忆增强神经网络,
neural turing machine,神经图灵机,
differentiable neural computer,可微分神经计算机,
meta reinforcement learning,元强化学习,
hierarchical reinforcement learning,层次强化学习,
option framework,选项框架,
intrinsic motivation,内在动机,
curiosity-driven exploration,好奇心驱动探索,
count-based exploration,基于计数的探索,
reward shaping,奖励塑形,
sparse reward,稀疏奖励,
imitation learning,模仿学习,
behavioral cloning,行为克隆,
inverse reinforcement learning,逆强化学习,
generative flow,生成流,
flow matching,流匹配,
consistency model,一致性模型,
score-based generative model,基于分数的生成模型,
stochastic differential equation,随机微分方程,
noise schedule,噪声调度,
linear noise schedule,线性噪声调度,
cosine noise schedule,余弦噪声调度,
classifier guidance,分类器引导,
negative prompt,负向提示,
positive prompt,正向提示,
denoising strength,去噪强度,
control signal,控制信号,
depth map,深度图,
canny edge,Canny 边缘,
human pose,人体姿态,
skeleton,骨骼,
action recognition,动作识别,
temporal convolution,时序卷积,
slowfast network,SlowFast 网络,
video understanding,视频理解,
video captioning,视频描述生成,
audio understanding,音频理解,
audio classification,音频分类,
acoustic model,声学模型,
language model,语言模型,
acoustic embedding,声学嵌入,
wav2vec,wav2vec 模型,
whisper,Whisper 模型,
unit-to-speech,单元到语音,
vocoder,声码器,
HiFi-GAN,HiFi-GAN 模型,
mel-spectrogram,梅尔频谱,
sampling rate,采样率,
bit depth,位深,
frame rate,帧率,
batch inference,批量推理,
streaming inference,流式推理,
server-side inference,服务端推理,
edge inference,边缘推理,
in-browser inference,浏览器内推理,
WebAssembly,WebAssembly,
WebGPU,WebGPU,
model serving,模型服务化,
model deployment,模型部署,
container,容器,
Docker,Docker 容器,
Kubernetes,Kubernetes 编排,
Helm,Helm 包管理,
service mesh,服务网格,
model registry,模型注册表,
feature store,特征仓库,
MLOps,机器学习运维,
CI/CD for ML,机器学习持续集成与部署,
data versioning,数据版本管理,
DVC,DVC 数据版本,
experiment tracking,实验跟踪,
MLflow,MLflow 平台,
Weights and Biases,Weights and Biases 平台,
TensorBoard,TensorBoard 工具,
reproducibility,可复现性,
hyperparameter search,超参数搜索,
automated machine learning,自动机器学习,
AutoML,自动机器学习,
DARTS,DARTS 架构搜索,
differentiable architecture search,可微分架构搜索,
evolved transformer,进化 Transformer,
retrieval-augmented language model,检索增强语言模型,
dense passage retrieval,密集段落检索,
hybrid retrieval,混合检索,
sparse retrieval,稀疏检索,
BM25,BM25 算法,
lexical search,词法检索,
semantic retrieval,语义检索,
cross-encoder,交叉编码器,
bi-encoder,双编码器,
approximate nearest neighbor search,近似最近邻搜索,
vector quantization,向量量化,
product quantization,乘积量化,
scalar quantization,标量量化,
inverted index,倒排索引,
elasticsearch,Elasticsearch 引擎,
solr,Solr 引擎,
text encoder,文本编码器,
vision encoder,视觉编码器,
audio encoder,音频编码器,
fusion module,融合模块,
cross-modal attention,跨模态注意力,
multimodal fusion,多模态融合,
contrastive multimodal learning,对比多模态学习,
self-supervised multimodal,自监督多模态,
vision-language pre-training,视觉-语言预训练,
</content>
</invoke>
